Team,Player,Class,POS,W,L,ERA,GP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,HBP,BAA
Tar_Heels,Caden Glauber,FR,P,11,0,2.17,28,3,0,0,5,87,58,24,21,39,106,5,0.191
Tar_Heels,Jason DeCaro,JR,P,11,2,2.31,18,18,2,2,0,93.2,78,30,24,41,93,8,0.231
Tar_Heels,Walker McDuffie,SO,P,9,3,3.26,37,0,0,0,6,69,51,25,25,41,86,9,0.209
Tar_Heels,Ryan Lynch,SO,P,5,4,4.2,18,17,1,0,0,94.1,99,48,44,35,84,17,0.273
Tar_Heels,Jackson Rose,FR,P,5,0,2.15,22,6,0,0,1,50.1,29,12,12,24,46,4,0.171
Tar_Heels,Matthew Matthijs,SR,P,3,0,6.3,26,0,0,0,2,30,32,21,21,12,36,1,0.262
Tar_Heels,Folger Boaz,JR,P,3,3,7.06,17,15,0,0,0,57.1,83,46,45,24,54,6,0.333
Sooners,Cord Rager,FR,P,6,3,4.69,15,15,0,0,0,71,53,37,37,19,89,9,0.211
Sooners,LJ Mercurius,JR,P,6,7,4.74,20,12,1,0,4,76,71,45,40,26,96,10,0.242
Sooners,Nick Wesloski,FR,P,2,1,3.63,14,2,0,0,0,34.2,24,20,14,13,33,2,0.194
Sooners,Cameron Johnson,JR,P,7,1,4.19,15,15,0,0,0,53.2,39,32,25,43,72,10,0.199
Sooners,Jason Bodin,JR,P,5,1,5.45,25,0,0,0,0,34.2,25,25,21,23,39,10,0.197
Sooners,Jackson Cleveland,SR,P,3,2,5.45,25,0,0,0,9,39.2,41,28,24,16,39,7,0.265
Sooners,Xander Mercurius,FR,P,1,2,5.51,19,4,0,0,1,50.2,48,33,31,22,56,6,0.247
Sooners,Michael Catalano,SO,P,3,4,7.02,11,8,0,0,0,33.1,33,26,26,15,37,2,0.262
